SourceFile,FileName,GPSLatitude,GPSLongitude,GPSAltitude
LUGASSON/lug00001274_560nm.tif,lug00001274_560nm.tif,44.7526421,-0.1675751,149.363007
LUGASSON/lug00001275_560nm.tif,lug00001275_560nm.tif,44.7528016,-0.1675847,148.962997
LUGASSON/lug00001276_560nm.tif,lug00001276_560nm.tif,44.7529653,-0.1676226,148.662994
LUGASSON/lug00001277_560nm.tif,lug00001277_560nm.tif,44.7531213,-0.1676765,149.063004
LUGASSON/lug00001278_560nm.tif,lug00001278_560nm.tif,44.7532789,-0.1677049,150.462997
LUGASSON/lug00001279_560nm.tif,lug00001279_560nm.tif,44.7534397,-0.1676958,150.962997
LUGASSON/lug00001280_560nm.tif,lug00001280_560nm.tif,44.7536057,-0.1676335,151.063004
LUGASSON/lug00001281_560nm.tif,lug00001281_560nm.tif,44.7537717,-0.1675435,151.263
LUGASSON/lug00001282_560nm.tif,lug00001282_560nm.tif,44.7539349,-0.1674535,151.363007
LUGASSON/lug00001285_560nm.tif,lug00001285_560nm.tif,44.7544009,-0.1672998,151.063004
LUGASSON/lug00001286_560nm.tif,lug00001286_560nm.tif,44.7545521,-0.1672712,150.363007
LUGASSON/lug00001287_560nm.tif,lug00001287_560nm.tif,44.7547021,-0.1672267,149.563004
LUGASSON/lug00001288_560nm.tif,lug00001288_560nm.tif,44.7548528,-0.1671772,149.662994
LUGASSON/lug00001289_560nm.tif,lug00001289_560nm.tif,44.7550037,-0.1671318,150.162994
LUGASSON/lug00001290_560nm.tif,lug00001290_560nm.tif,44.7551525,-0.1670844,150.962997
LUGASSON/lug00001292_560nm.tif,lug00001292_560nm.tif,44.755464,-0.1669901,151.962997
LUGASSON/lug00001293_560nm.tif,lug00001293_560nm.tif,44.7556088,-0.1669666,152.063004
LUGASSON/lug00001294_560nm.tif,lug00001294_560nm.tif,44.7557578,-0.1669532,151.162994
LUGASSON/lug00001295_560nm.tif,lug00001295_560nm.tif,44.7559067,-0.1669368,150.063004
LUGASSON/lug00001296_560nm.tif,lug00001296_560nm.tif,44.756049,-0.1669201,149.662994
LUGASSON/lug00001297_560nm.tif,lug00001297_560nm.tif,44.7561922,-0.1668966,149.563004
